Generic name,Brand name,FDA Approval,Drug Class,Target,Mechanism,Indication Approved,Current Clinical Trials
Bomedemstat (MK-3543),,,Small molecule,LSD1,"Bomedemstat is an investigational lysine-specific demethylase-1 (LSD1) inhibitor.",,Myeloproliferative disorders (NCT06079879; NCT06456346; NCT06351631)
Ifinatamab deruxtecan (MK-2400),,,ADC,B7-H3,"Investigational anti‑B7‑H3 antibody‑drug conjugate linked to a topoisomerase I inhibitor payload; co-developed with Daiichi Sankyo.",,"Esophageal cancer (IDeate-Esophageal01; NCT06644781); Prostate cancer (IDeate-Prostate01; NCT06925737); Small cell lung cancer (IDeate-Lung02; NCT06203210); Biliary tract cancer; Bladder cancer; Breast cancer; Cervical cancer; Colorectal cancer; Endometrial cancer; Hepatocellular carcinoma; Head and neck squamous cell carcinoma; Melanoma; Non-small cell lung cancer (KEYMAKER-U01; NCT06780085); Ovarian cancer; Pancreatic cancer (IDeate-PanTumor02; NCT06330064)"
Intismeran autogene (V940),,,Vaccine,Patient-specific tumor-associated antigens (neoantigens),"V940 is an investigational mRNA-based individualized neoantigen therapy targeting tumor-associated antigens expressed by a patient's cancer cells.",,"Melanoma (INTerpath-001; NCT05933577); Non-small cell lung cancer (INTerpath-002; NCT06077760; INTerpath-009; NCT06623422); Bladder cancer (INTerpath-005; NCT06305767); Renal cell carcinoma (INTerpath-004; NCT06307431)"
Pembrolizumab (MK-3475),KEYTRUDA,2014-09-04,Monoclonal antibody,PD-1 receptor,"Monoclonal antibody that binds to the PD-1 receptor and blocks its interaction with PD-L1 and PD-L2, releasing PD-1 pathway-mediated inhibition of the immune response.",,"Resectable locally advanced head and neck squamous cell carcinoma (KN-689; NCT03765918); Hepatocellular carcinoma (EU) (KN-937; NCT03867084); Ovarian cancer (KN-B96/ENGOT-ov65; NCT05116189); Small cell lung cancer (KN-604; NCT03066778); Prostate cancer (KN-991; NCT04191096; KN-641; NCT03834493; KN-921; NCT03834506)"
Olaparib (MK-7339),LYNPARZA,2014-12-19,Small molecule,PARP1 PARP2 PARP3,"Olaparib is an inhibitor of poly (ADP-ribose) polymerase (PARP) enzymes, including PARP1, PARP2, and PARP3.","Advanced ovarian cancer; Maintenance treatment of ovarian cancer (tablet formulation); gBRCA-mutated metastatic breast cancer; First-line maintenance for BRCA-mutated advanced ovarian cancer; First-line maintenance for gBRCA-mutated metastatic pancreatic cancer; First-line maintenance with bevacizumab for HRD-positive advanced ovarian cancer; HRR gene–mutated mCRPC; Adjuvant treatment for gBRCA-mutated HER2-negative high-risk early breast cancer; Olaparib + abiraterone + prednisone/prednisolone for adult patients with BRCA-mutated mCRPC","Non-small cell lung cancer (KEYLYNK-012; NCT04380636; KEYLYNK-008; NCT03976362; KEYLYNK-006; NCT03976323); Small cell lung cancer (KEYLYNK-013; NCT04624204)"
MK-1084,,,Small molecule,KRAS G12C,"MK-1084 is an investigational, oral selective KRAS G12C inhibitor; being developed in combination with Keytruda.",,"Colorectal cancer (KANDLELIT-012; NCT06997497); Non-small cell lung cancer (NCT06345729)"
Nemtabrutinib (MK-1026),,,Small molecule,BTK,"Investigational reversible, non-covalent Bruton's tyrosine kinase (BTK) inhibitor with activity against wild-type BTK and BTK pathway mutants.",,"Hematological malignancies (BELLWAVE-001; NCT03162536; BELLWAVE-003; NCT04728893; BELLWAVE-008; NCT05624554; BELLWAVE-010; NCT05947851; BELLWAVE-011; NCT06136559)"
Opevesostat (MK-5684),,,Small molecule,CYP11A1,"Opevesostat is an investigational oral inhibitor of cytochrome P450 11A1.",,"Prostate cancer (OMAHA1; NCT06136624; OMAHA2a; NCT06136650)"
Patritumab deruxtecan (MK-1022),,,ADC,HER3,"Investigational anti‑HER3 antibody‑drug conjugate linked to a topoisomerase I inhibitor payload.",,"Breast (HERTHENA-Breast04; NCT07060807); Biliary tract cancer (NCT06596694); Bladder, Cervical, Endometrial, Esophageal, Gastric, HCC, Head and neck squamous cell cancer, Melanoma, Ovarian, Pancreatic, Prostate (HERTHENA-PanTumor01; NCT06172478); Non-small cell lung cancer (HERTHENA-Lung01; NCT04619004)"
Quavonlimab + pembrolizumab (MK-1308A),,,Monoclonal antibody fixed-dose combination,CTLA-4 (quavonlimab) and PD-1 (pembrolizumab),"Quavonlimab binds CTLA-4 to inhibit ligand interaction; pembrolizumab binds PD-1 and blocks PD-L1/PD-L2.",,"Renal cell carcinoma (LITESPARK-012; NCT04736706)"
